Municipality,Code,Porcentage of population living with at most 1/2 minimum wage (%),Employed population (%),Natural forests (%),Households with access to electric energy (%),Planted or destined to harvest area (%),Maximum capcacity of reservoirs (m^3),Nature conservation unit demarcated area(%),Average wind (m/s)
Serra Negra do Norte,2413409,0.463,0.1228,0.795,0.996,0.004,0,0.02007,10.12518643
Serrinha,2413508,0.516,0.0942,0.059,0.949,0.018,0,0,9.21745006
Serrinha dos Pintos,2413557,0.513,0.0728,0.511,0.923,0.034,0,0,10.39658711
Severiano Melo,2413607,0.522,0.327,0.335,0.977,0.092,7537478,0,10.38735682
Sítio Novo,2413706,0.529,0.0584,0.408,0.988,0.008,0,0,9.392847728
Taboleiro Grande,2413805,0.495,0.1485,0.626,0.981,0.023,0,0,10.43377416
Taipu,2413904,0.5,0.0656,0.079,0.985,0.125,0,0,9.19320738
Tangará,2414001,0.511,0.0825,0.262,0.96,0.003,2377128,0,9.350943546
Tenente Ananias,2414100,0.504,0.0624,0.627,0.985,0.008,9639152,0,10.51013283
Tenente Laurentino Cruz,2414159,0.488,0.1065,0.421,0.967,0.391,0,0,9.771205212
Tibau,2411056,0.446,0.2243,0.459,0.994,0.178,0,0,9.981740387
Tibau do Sul,2414209,0.414,0.3612,0.292,0.987,0.116,0,0.46818,8.996988157
Timbaúba dos Batistas,2414308,0.402,0.1343,0.192,0.944,0.007,0,0,10.05710764
Touros,2414407,0.52,0.0973,0.282,0.968,0.156,11074800,0,9.070362914
Triunfo Potiguar,2414456,0.484,0.1205,0.667,0.994,0.008,0,0,9.985230906
Umarizal,2414506,0.496,0.0977,0.449,0.978,0.034,21403850,0,10.31749901
Upanema,2414605,0.554,0.0963,0.41,0.988,0.016,292813650,0,10.01532088
Várzea,2414704,0.472,0.0861,0.106,0.982,0.019,0,0,9.157458161
Venha-Ver,2414753,0.583,0.078,0.411,0.991,0.145,0,0,10.66038478
Vera Cruz,2414803,0.477,0.0676,0.048,0.99,0.302,0,0.00012,9.155610319
Viçosa,2414902,0.535,0.1248,0.435,0.994,0.077,0,0,10.38685494
Vila Flor,2415008,0.483,0.1135,0.109,0.973,0.009,0,0,9.000111608
